wilayah,ncpr,kemiskinan (%),pengeluaran pangan (%),tanpa listrik (%),tanpa air bersih (%),lama sekolah perempuan (tahun),rasio tenaga kesehatan,angka harapan hidup (tahun),stunting (%),ikp,ikp ranking,nama_file,tahun
aceh - aceh selatan,0.98,12.43,47.68,0.21,41.78,9.74,1.67,64.64,37.2,71.11,287,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh tenggara,0.33,12.83,25.28,0.07,47.3,8.98,1.77,68.48,34.0,78.47,184,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh timur,0.58,13.91,37.31,0.07,45.47,8.09,2.37,68.94,34.8,75.78,232,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh tengah,2.99,14.5,22.82,0.15,28.05,9.94,2.33,69.05,36.7,65.57,327,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh barat,0.59,17.93,28.02,0.0,18.32,8.83,1.69,68.19,33.6,79.95,159,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh besar,0.37,13.38,28.21,0.05,9.93,10.03,2.15,69.99,32.0,85.62,43,Data Ketahanan Pangan 2023.csv,2023
aceh - pidie,0.44,18.79,49.2,0.03,35.13,10.0,1.47,67.15,30.4,75.69,234,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh utara,0.35,16.86,46.36,0.44,35.32,10.6,1.39,69.01,27.0,76.66,219,Data Ketahanan Pangan 2023.csv,2023
aceh - simeulue,1.33,18.37,40.54,0.99,15.13,9.28,0.69,65.48,27.8,72.51,273,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh singkil,5.0,19.18,35.0,0.0,41.74,9.53,0.48,67.65,23.4,47.06,390,Data Ketahanan Pangan 2023.csv,2023
aceh - bireuen,0.52,12.51,38.6,0.52,31.9,9.14,0.56,71.48,38.3,81.34,135,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh barat daya,0.42,15.44,52.71,0.0,21.67,9.05,1.66,65.3,35.2,76.93,211,Data Ketahanan Pangan 2023.csv,2023
aceh - gayo lues,0.53,18.87,38.01,0.13,23.98,8.21,6.44,65.77,34.6,75.49,238,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh jaya,0.41,12.51,37.53,0.24,31.33,9.43,1.23,67.4,27.4,80.22,156,Data Ketahanan Pangan 2023.csv,2023
aceh - nagan raya,0.98,17.38,39.15,0.0,24.01,9.3,2.15,69.45,28.8,76.29,226,Data Ketahanan Pangan 2023.csv,2023
aceh - aceh tamiang,0.93,12.61,25.26,0.0,14.46,8.69,4.48,69.87,19.9,81.41,129,Data Ketahanan Pangan 2023.csv,2023
aceh - bener meriah,5.0,18.39,28.86,0.17,63.44,10.2,1.2,69.48,37.0,45.67,392,Data Ketahanan Pangan 2023.csv,2023
aceh - pidie jaya,0.33,18.45,53.29,0.1,28.8,9.85,0.47,70.41,37.8,77.69,197,Data Ketahanan Pangan 2023.csv,2023
aceh - kota banda aceh,0.0,7.13,6.99,0.0,0.81,7.2,0.83,71.79,25.3,86.97,35,Data Ketahanan Pangan 2023.csv,2023
aceh - kota sabang,0.0,14.66,13.27,1.02,2.49,9.15,3.0,70.79,34.2,73.88,85,Data Ketahanan Pangan 2023.csv,2023
aceh - kota lhokseumawe,0.0,10.84,14.4,0.0,2.95,9.5,3.33,71.87,39.4,80.67,62,Data Ketahanan Pangan 2023.csv,2023
aceh - kota langsa,0.0,10.62,6.2,0.0,10.04,9.23,1.42,69.63,30.5,76.95,77,Data Ketahanan Pangan 2023.csv,2023
aceh - kota subulussalam,0.0,16.94,36.08,0.0,56.32,10.18,2.4,64.3,27.4,36.09,98,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - tapanuli tengah,1.42,11.71,46.02,0.72,35.65,10.66,1.97,67.58,24.8,72.18,277,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - tapanuli utara,0.33,8.93,60.01,0.56,55.03,9.65,1.38,69.16,23.9,77.29,204,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - tapanuli selatan,0.53,8.07,40.01,1.34,61.8,8.91,1.78,65.28,15.3,73.4,262,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - nias,0.75,16.0,31.9,8.3,65.38,9.76,1.75,70.06,17.4,71.38,285,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - langkat,1.36,9.49,40.49,0.21,28.61,10.28,2.04,69.39,28.6,76.89,214,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - karo,0.29,8.17,58.54,0.01,43.36,10.18,1.52,72.03,24.9,81.35,134,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - deli serdang,0.9,3.62,27.6,0.34,20.06,10.32,0.53,72.07,13.9,86.81,31,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - simalungun,0.58,8.26,39.04,0.2,44.91,8.82,1.71,71.78,18.6,81.41,130,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - asahan,2.07,8.64,29.66,0.02,27.85,6.97,1.23,68.73,27.2,73.99,254,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - labuhanbatu,1.15,8.26,30.62,0.6,39.74,10.02,3.28,70.37,29.6,77.96,191,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - dairi,0.42,7.88,27.03,0.5,36.19,10.2,3.63,69.64,30.8,82.92,104,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - toba samosir,0.31,8.89,50.04,0.4,30.95,9.17,2.92,70.76,26.3,83.09,98,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - mandailing natal,1.04,8.92,52.97,1.25,54.26,9.04,1.43,63.05,21.1,69.54,301,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - nias selatan,1.35,16.48,41.18,4.16,69.42,8.93,0.83,69.21,21.7,65.67,325,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - pakpak bharat,0.87,8.66,33.36,0.77,37.38,9.6,3.27,66.44,29.2,77.32,203,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - humbang hasundutan,0.37,8.86,50.33,0.44,48.18,9.72,2.75,70.02,35.8,78.9,180,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - samosir,0.41,11.77,41.66,0.57,49.16,9.26,2.88,71.82,26.4,78.89,181,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - serdang bedagai,0.19,7.82,37.23,0.04,34.74,9.33,2.31,69.21,7.3,83.76,80,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - batu bara,1.02,11.53,29.35,0.09,37.09,7.14,1.54,67.55,11.9,76.82,216,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - padang lawas utara,1.65,8.94,41.36,0.52,48.84,7.28,0.58,67.53,29.4,70.4,295,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - padang lawas,1.6,8.05,41.34,0.14,45.17,7.98,8.2,67.43,32.0,70.9,288,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - labuhanbatu selatan,5.0,8.09,27.13,0.2,23.32,9.01,2.78,69.16,29.8,56.18,364,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - labuhanbatu utara,0.93,9.09,36.23,0.31,29.87,8.31,3.26,69.91,24.2,81.22,139,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - nias utara,0.65,23.4,32.54,8.03,45.91,8.74,3.57,69.9,30.0,73.67,258,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - nias barat,1.57,24.75,24.74,6.8,78.41,9.53,1.36,69.43,18.9,61.2,344,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota medan,0.0,8.07,12.49,0.11,3.0,8.76,0.94,73.58,25.0,87.8,28,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota pematangsiantar,0.0,7.88,13.76,0.0,8.95,9.46,2.06,74.25,24.6,87.19,33,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota sibolga,0.0,11.47,31.53,0.0,4.42,8.63,2.98,69.77,24.3,79.85,67,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota tanjung balai,0.0,12.45,34.13,0.08,1.29,8.21,2.9,63.87,28.9,70.83,89,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota binjai,0.0,5.1,18.08,0.0,7.09,8.93,6.71,72.79,31.7,87.25,32,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota tebing tinggi,0.0,9.59,20.26,0.0,24.69,8.92,2.33,71.29,24.6,75.82,81,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota padang sidimpuan,0.0,6.89,28.27,0.35,38.21,9.61,2.22,69.84,35.5,69.9,90,Data Ketahanan Pangan 2023.csv,2023
sumatera utara - kota gunungsitoli,0.0,14.81,17.94,0.29,25.2,9.02,4.42,71.71,17.8,65.13,95,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - pesisir selatan,0.4,7.11,24.11,0.2,19.5,8.44,5.13,71.25,16.7,85.95,40,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - solok,0.36,7.12,44.18,0.0,33.02,7.62,6.05,69.19,28.5,81.78,124,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - sijunjung,0.79,6.0,27.67,0.48,29.44,8.96,8.43,66.7,11.2,79.93,160,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - tanah datar,0.33,4.26,36.16,0.39,20.38,10.0,5.25,70.49,22.0,87.55,18,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - padang pariaman,0.51,6.25,28.13,0.46,30.84,9.52,4.52,69.34,14.5,83.13,96,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - agam,0.51,6.22,38.72,0.69,16.68,8.86,4.29,72.89,22.0,86.4,34,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - lima puluh kota,0.44,6.59,46.81,0.28,40.57,9.47,4.55,70.08,8.4,80.68,146,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - pasaman,0.3,6.85,42.69,0.61,37.17,8.62,3.81,67.96,14.7,80.59,149,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - kepulauan mentawai,3.17,13.97,54.54,11.19,73.7,8.46,5.31,64.93,17.5,50.91,379,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - dharmasraya,0.89,5.56,11.73,0.18,26.04,8.13,3.25,71.9,24.2,84.38,72,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - solok selatan,0.35,6.51,27.76,0.25,34.45,8.01,3.5,68.38,14.5,82.16,114,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - pasaman barat,0.55,6.93,44.76,0.15,26.54,8.38,4.6,68.25,16.8,80.67,147,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - kota padang,0.0,4.26,11.51,0.17,10.07,8.55,4.29,73.93,26.3,88.33,26,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - kota solok,0.0,3.02,11.75,0.0,1.43,8.99,3.56,74.06,18.6,92.87,4,Data Ketahanan Pangan 2023.csv,2023
sumatera barat - kota sawahlunto,0.0,2.28,14.59,0.03,7.24,8.22,4.74,70.4,22.5,84.38,46,Data Ketahanan Pangan 2023.csv,2023
