time_period,CO2 emissions from air transport per capita (Total - all activities),CO2 emissions from air transport per unit of GDP (Total - all activities),Consumption of biomass (Total - all activities),Consumption of metals (Total - all activities),Consumption of non-metallic minerals (Total - all activities),Demand-based CO2 emissions (Total - all activities),Demand-based CO2 intensity energy-related CO2 per capita (Total - all activities),"Demand-based CO2 productivity, GDP per unit of energy-related CO2 emissions (Total - all activities)",Demand-based GHG emissions (Total - all activities),Demand-based GHG intensity energy-related GHG per capita (Total - all activities),"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions (Total - all activities)",Development of environment-related technologies (Total - all activities),Diesel end-user price (Total - all activities),"Energy consumption (Agriculture, forestry and fishing)",Energy consumption (Industry (except construction)),Energy consumption (Other),Energy consumption (Services),Energy consumption (Transportation and storage),Energy intensity per capita (Total - all activities),"Energy productivity, GDP per unit of TES (Total - all activities)",Energy related taxes revenue (Total - all activities),Environment related taxes revenue (Total - all activities),Female population (Total - all activities),GDP deflator (Total - all activities),Industry electricity price (Total - all activities),Intact forest landscape (Total - all activities),Labour tax revenue (Total - all activities),Life expectancy at birth (Total - all activities),Mortality from exposure to ambient PM2.5 (Total - all activities),Mortality from exposure to ambient ozone (Total - all activities),Mortality from exposure to lead (Total - all activities),Mortality from exposure to residential radon (Total - all activities),Naturally regenerating forests (Total - all activities),Net migration (Total - all activities),Nominal exchange rate (Total - all activities),"Non-energy material productivity, GDP per unit of DMC (Total - all activities)",Petrol end-user price (Total - all activities),Population density (Total - all activities),Population exposed to more than 10 micrograms/m3 (Total - all activities),Population exposed to more than 35 micrograms/m3 (Total - all activities),Population exposure to PM2.5 (Total - all activities),Population with access to improved drinking water sources (Total - all activities),Population with access to improved to sanitation (Total - all activities),"Population, ages 0-14 (Total - all activities)","Population, ages 15-64 (Total - all activities)","Population, ages 65 and above (Total - all activities)",Production-based CO2 emissions (Total - all activities),"Production-based CO2 intensity, energy-related CO2 per capita (Total - all activities)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions (Total - all activities)",Production-based GHG emissions (Total - all activities),"Production-based GHG intensity, energy-related GHG per capita (Total - all activities)","Production-based GHG productivity, GDP per unit of energy-related GHG emissions (Total - all activities)",Purchasing power parity (Total - all activities),Real GDP (Total - all activities),Real GDP per capita (Total - all activities),Relative technological advantage in environment-related technologies (Total - all activities),Renewable electricity generation (Total - all activities),Renewable energy supply (Total - all activities),Renewable energy supply (excluding solid biofuels) (Total - all activities),Residential electricity price (Total - all activities),Road transport related tax revenue (Total - all activities),Total energy supply (Total - all activities),Total fertility rate (Total - all activities),"Value added (Agriculture, forestry and fishing)",Value added (Industry (except construction)),Value added (Services),Welfare costs of premature mortalities from exposure to ambient PM2.5 (Total - all activities),Welfare costs of premature mortalities from exposure to ambient ozone (Total - all activities),Welfare costs of premature mortalities from exposure to lead (Total - all activities),Welfare costs of premature mortalities from exposure to residential radon (Total - all activities),reference_area
2000,3450.5795072184383,39.5122303868398,1.1,1.63,87.70218744088184,87.97,23.2,2.89,87.595,22.97,2.93,2.8200000000000003,0.86,0.007438200922518255,26.23,41.1,11.52,14.986992140688043,5.7,11761.34,44.25022459592115,2.2947460967059783,48.9,85.76,0.3418745951235289,0.0,7.985,79.07,249.25,2.53,37.47,2.29,100.0,39.39,1.72,7.39968790323194,2.04,4813.77,100.0,0.6031401579623017,19.05,100.0,100.0,17.95,76.11,5.94,71.06,11.377452628491781,5.23,85.55,21.72,3.1,0.8656890295130992,109833.35,67076.8,0.42,0.77,0.54,1.0438264769008523,0.3418745501929332,58.43304769462934,59.335,1.56,0.04678794762764373,34.82,65.08,2.27,0.02,0.34,0.02,Singapore
2001,3451.2851585274675,39.605247465879884,2.36,3.65,93.99,84.48500000000001,21.93,2.98,83.715,21.61,3.03,2.9133333333333336,0.84,0.007438200922518255,25.07,43.6,11.22,14.986992140688043,6.4,10200.82,46.227161022330144,2.2280596302149185,48.99,84.2,0.26461426095813856,0.0,8.879999999999999,79.19,241.67,2.36,36.64,2.28,100.0,32.04,1.79,2.6,1.96,4891.03,100.0,0.6031401579623017,18.9146265570918,100.0,100.0,17.76,76.13,6.11,70.91499999999999,11.377452628491781,5.18,88.785,22.19,2.95,0.9,108659.215,65311.46,0.42,1.43,0.92,0.92,0.2646137668285866,56.09130262359052,67.67999999999999,1.23,0.09,32.3,67.61,2.21,0.02,0.33,0.02,Singapore
2002,3449.80369255206,39.378310295193,4.3,5.63,90.08,84.22999999999999,21.49,3.1,81.955,20.79,3.22,2.5733333333333333,0.83,0.007438200922518255,22.6,49.66,10.64,17.08,6.25,10669.35,49.816665298294396,2.140862797288559,49.14,83.46,0.21983452992118835,0.0,8.995,79.3,234.54,2.36,35.97,2.27,100.0,22.9,1.79,4.23,1.8,4938.6,100.0,0.6031401579623017,19.539830263952446,100.0,100.0,17.63,76.08,6.28,69.665,12.21,5.48,88.8,21.82,3.07,0.88,112912.79999999999,66723.78,0.36,1.36,0.92,0.92,0.21983399207373022,51.95935622293845,67.245,1.36,0.07,32.43,67.49,2.14,0.02,0.33,0.02,Singapore
2003,3447.831328548072,39.01089140695639,5.48,5.24,89.29,72.1,18.48,3.79,71.42500000000001,18.21,3.86,4.876666666666666,0.9,0.007438200922518255,23.24,52.17,9.18,15.38,7.6,9223.67,44.99881895702502,2.459663145432849,49.29,81.96,0.19090324655392354,0.0,8.205,79.4,224.69,3.15,35.5,2.24,100.0,19.77,1.74,5.92,1.83,4830.55,100.0,0.6031401579623017,20.821543439222047,100.0,100.0,17.33,76.25,6.42,64.38,11.33,6.2,88.19999999999999,21.77,3.23,0.85,118034.285,70082.79,0.65,1.4,0.8,0.8,0.19090130691734553,57.46686015102802,81.305,1.28,0.06,31.94,68.0,2.05,0.03,0.32,0.02,Singapore
2004,3443.553504855493,37.92282457338384,7.27,7.7,85.03,74.93,18.95,4.01,72.13,18.14,4.2,6.496666666666667,1.09,0.007438200922518255,22.5,54.81,8.58,14.08,9.0,14458.227419701701,46.76676734498719,2.1304404914308854,49.44,85.3,0.2731177614443495,0.0,7.385,79.77,217.53,3.41,34.92,2.25,100.0,15.63,1.69,7.96,2.0,4883.07,100.0,0.6031401579623017,21.28614689161909,100.0,100.0,16.83,76.66,6.5,66.845,11.61,6.57,95.73,23.31,3.27,0.86,129624.76,75918.94,0.77,1.3,0.64,0.64,0.2731175659324751,55.19600465067905,97.61500000000001,1.26,0.06,33.56,66.38,1.95,0.03,0.31,0.02,Singapore
2005,3439.869435202178,37.51988729170114,6.12,7.94,85.94,75.53999999999999,18.8,4.27,70.315,17.41,4.63,7.03,1.38,0.0,24.04,52.35,9.09,14.53,6.06,13240.03,41.82,1.945,49.46,86.93,0.24,0.0,7.47,80.35,205.81,5.67,33.37,2.22,100.0,80.42,1.66,8.68,2.14,4961.11,100.0,0.0,16.45,100.0,100.0,16.29,77.17,6.54,62.260000000000005,10.64,7.57,98.685,23.65,3.41,0.85,139163.9,80223.77,0.84,1.25,0.94,0.94,0.24,58.18,66.78,1.26,0.06,32.88,67.07,1.81,0.05,0.29,0.02,Singapore
2006,3435.285329723556,36.45521949783523,6.7,8.31,84.99,77.535,18.98,4.53,71.58500000000001,17.43,4.95,6.46,1.58,0.0,24.41,51.27,9.62,14.7,6.4,13435.19,41.24,1.69,49.21,88.53,0.28,0.0,7.28,80.71,196.06,4.61,32.21,2.18,100.0,63.697533366659,1.59,9.16,2.25,5008.37,100.0,0.6031401579623017,18.39037926193457,100.0,100.0,15.83,77.62,6.54,62.715,10.54,8.19,105.78999999999999,24.94,3.46,0.84,151695.805,86007.55,0.67,1.21,0.87,0.87,0.28,58.76,71.74,1.28,0.05,32.24,67.71,1.72,0.04,0.28,0.02,Singapore
2007,3430.186739806754,35.318711606010176,5.6,6.23,88.16,83.44,20.1,4.59,75.99000000000001,18.2,5.09,7.43,1.59,0.0,23.73,52.45,9.72,14.11,5.81,15879.3,44.46,1.345,48.87,93.77,0.26,0.0,7.025,80.96,189.96,3.82,31.55,2.19,100.0,63.697533366659,1.51,8.09,2.29,5082.39,100.0,0.6031401579623017,12.702338715924874,100.0,100.0,15.34,78.13,6.53,64.595,10.69,8.67,113.58500000000001,26.34,3.52,0.86,165382.04,92270.7,0.74,1.18,0.96,0.96,0.26,55.54,66.175,1.29,0.05,29.93,70.03,1.65,0.03,0.27,0.02,Singapore
2008,3429.3512018734627,34.74482359949836,4.39,7.53,88.08,96.61,22.89,4.04,93.55,22.05,4.21,11.786666666666667,2.05,0.0,30.55,38.66,10.066358267054722,18.13,6.59,14035.28,46.63,1.285,48.55,92.47,0.34,0.0,8.17,81.17,183.84,2.26,30.72,2.2,100.0,63.697533366659,1.41,6.54,2.53,5130.51,100.0,-3.5272555131271393,13.433917916553014,100.0,100.0,14.71,78.77,6.53,64.825,10.55,8.8,119.595,27.29,3.4,0.84,168471.745,92457.22,1.01,1.26,0.9,0.9,0.34,53.37,76.27,1.28,0.04,27.86,72.09,1.59,0.02,0.27,0.02,Singapore
2009,3429.686557041013,34.64734235369138,2.68,3.78,93.54,92.515,21.39,4.22,90.39,20.78,4.36,14.666666666666666,1.52,0.0,34.2,36.22,11.5,18.09,6.77,13336.44,54.6,1.17,48.25,95.21,0.26,0.0,9.43,81.46,174.68,1.71,29.43,2.19,100.0,63.697533366659,1.45,4.06,2.15,5258.98,100.0,3.167021359196683,13.774716957415833,100.0,100.0,13.95,79.49,6.56,65.515,10.4,8.72,129.04500000000002,28.72,3.16,0.86,168675.585,90307.66,1.15,1.28,0.87,0.87,0.26,45.4,80.36,1.22,0.04,28.42,71.54,1.52,0.01,0.26,0.02,Singapore
